Name;ISIN;Symbol;Market;"Trading Currency";Open;High;Low;Last;"Last Date/Time";"Time Zone";Volume;Turnover
PEPSICO;US7134481081;PEP;"Traded not listed Brussels";USD;114.5;114.5;105;105;15/03/19;CET;150;14558.28
PICANOL;BE0003807246;PIC;"Euronext Brussels";EUR;61.4;61.8;61.2;61.4;27/09/19;CET;592;36356.2
PROSIEBENSAT;DE000PSM7770;PSMP;"Traded not listed Brussels";EUR;-;-;-;-;-;CET;-;-
PROXIMUS;BE0003810273;PROX;"Euronext Brussels";EUR;27.44;27.75;27.29;27.29;27/09/19;CET;617869;16895563.26
QRF;BE0974272040;QRF;"Euronext Brussels";EUR;15.65;15.95;15.65;15.95;27/09/19;CET;3118;49247.85
"QUESTFOR GR-PRICAF";BE0003730448;QFG;"Euronext Brussels";EUR;5.66;5.66;5.56;5.64;27/09/19;CET;14599;82373.58
REALCO;BE0003841583;REAL;"Euronext Access Brussels";EUR;18.4;18.4;18.4;18.4;23/09/19;CET;250;4600
RECTICEL;BE0003656676;REC;"Euronext Brussels";EUR;7.7;7.83;7.52;7.6;27/09/19;CET;65642;502016.33
REIBEL;BE0003829463;REI;"Euronext Access Brussels";EUR;0.5;0.5;0.5;0.5;01/08/19;CET;200;100
RESILUX;BE0003707214;RES;"Euronext Brussels";EUR;129.5;129.5;128.5;129;27/09/19;CET;851;109680.5
"RETAIL ESTATES";BE0003720340;RET;"Euronext Brussels, Amsterdam";EUR;85.9;86.1;85.7;86.1;27/09/19;CET;4525;389086.9
RODAMCO;NL0000288652;-;"Euronext Expert Market";EUR;7.4;7.4;7.4;7.4;27/01/15;CET;2;14.8
ROSIER;BE0003575835;ENGB;"Euronext Brussels";EUR;120;125;120;125;23/09/19;CET;40;4850
ROTON;BE0003660710;-;"Euronext Expert Market";EUR;0.63;0.63;0.63;0.63;04/12/18;CET;40;25.2
ROULARTA;BE0003741551;ROU;"Euronext Brussels";EUR;12.7;12.85;12.65;12.65;27/09/19;CET;138;1755.2
SABCA;BE0003654655;SAB;"Euronext Brussels";EUR;22;22;22;22;24/09/19;CET;25;550
"SAINT GOBAIN";FR0000125007;SGO;"Euronext Paris, Amsterdam, Brussels";EUR;34.555;35.285;34.505;35.235;27/09/19;CET;1750577;61411877.545
"SCHEERD.V KERCHOVE";BE0012378593;SCHD;"Euronext Brussels";EUR;400;400;400;400;17/09/19;CET;9;3600
SCR-SIBELCO;BE0944264663;-;"Euronext Expert Market";EUR;6400;6400;6400;6400;24/09/19;CET;19;121600
"SEQUANA MEDICAL";BE0974340722;SEQUA;"Euronext Brussels";EUR;6.6;7;6.6;7;27/09/19;CET;4803;32900.3
SETTLEMENTS;BE0974261902;STTL;"Euronext Growth Brussels";USD;13.52;13.52;13.52;13.52;24/03/17;CET;15000;202800
SHURGARD;LU1883301340;SHUR;"Euronext Brussels";EUR;29;29.65;29;29.35;27/09/19;CET;35532;1040210.85
SIEMENS;DE0007236101;SIA;"Traded not listed Brussels";EUR;96.24;98.14;96.24;97.12;27/09/19;CET;209;20305.11
SIMINANS;BE0016250517;-;"Euronext Expert Market";EUR;23.4;23.4;23.4;23.4;22/01/19;CET;3;70.2
SIOEN;BE0003743573;SIOE;"Euronext Brussels";EUR;21.9;22.1;21.7;21.8;27/09/19;CET;2684;58633.3
SIPEF;BE0003898187;SIP;"Euronext Brussels";EUR;42.25;43.05;42.2;42.5;27/09/19;CET;3587;152346.1
"SMARTPHOTO GROUP";BE0974323553;SMAR;"Euronext Brussels";EUR;14.25;14.25;14.1;14.1;27/09/19;CET;600;8482.5
"SNCB/NMBS -Jce/Gen";BE0010621481;-;"Euronext Expert Market";EUR;0.31;0.31;0.31;0.31;28/05/19;CET;1749;542.19
SOCLINPAR;QX0000022625;-;"Euronext Expert Market";EUR;21.78;21.78;21.78;21.78;29/11/16;CET;14;304.92
SOFINA;BE0003717312;SOF;"Euronext Brussels";EUR;201;203;199.6;201.5;27/09/19;CET;27710;5574071.3
SOFTIMAT;BE0003773877;SOFT;"Euronext Growth Brussels";EUR;3.7;3.8;3.7;3.8;27/09/19;CET;3658;13659.6
"SOLVAC NOM(RETAIL)";BE0003545531;SOLV;"Euronext Brussels";EUR;119.5;122;119.5;121.5;27/09/19;CET;743;89109.5
SOLVAY;BE0003470755;SOLB;"Euronext Brussels, Paris";EUR;93;94.98;93;94.62;27/09/19;CET;249222;23486834.72
"SOLVAY (CP 41)";BE0099887748;-;"Euronext Expert Market";EUR;48;48;48;48;30/05/17;CET;2;96
SPADEL;BE0003798155;SPA;"Euronext Brussels";EUR;200;200;200;200;27/09/19;CET;75;15000
"ST GOBAIN IMB";BE0003279784;-;"Euronext Expert Market";EUR;-;-;-;-;-;CET;-;-
"ST KRUIS (pen/nmp)";BE0944960831;-;"Euronext Expert Market";EUR;23.36;23.36;23.36;23.36;22/03/16;CET;18;420.48
"ST KRUIS BRUGGE";BE0101623644;-;"Euronext Expert Market";EUR;69.5;69.5;69.5;69.5;06/02/18;CET;4;278
ST-PIETERS-LEEUW;BE0014199377;-;"Euronext Expert Market";EUR;13.8;13.8;13.8;13.8;25/06/19;CET;4;55.2
"SUCRAF (ben/win)";BE0010026350;-;"Euronext Expert Market";EUR;10;10;10;10;17/07/18;CET;14;140
"SUCRAF A&B";BE0003463685;SUCR;"Euronext Brussels";EUR;2.02;2.02;2.02;2.02;18/09/19;CET;1000;2020
SUEZ;FR0010613471;SEV;"Euronext Paris, Brussels";EUR;14.37;14.39;14.19;14.325;27/09/19;CET;1480079;21163687.95
SURONGO;BE0003527356;-;"Euronext Expert Market";EUR;186;186;186;186;02/07/19;CET;1;186
"TELECOM ITALIA SPA";IT0003497168;TIT;"Traded not listed Brussels";EUR;0.489;0.489;0.489;0.489;25/09/19;CET;3000;1467
TELEFONICA;ES0178430E18;TFA;"Traded not listed Brussels";EUR;7.025;7.025;6.985;6.991;27/09/19;CET;390;2725.6
"TELENET GROUP";BE0003826436;TNET;"Euronext Brussels";EUR;43.22;43.68;43.06;43.26;27/09/19;CET;104199;4511003.02
"TER BEKE";BE0003573814;TERB;"Euronext Brussels";EUR;127;127;125;125;27/09/19;CET;154;19312
TESSENDERLO;BE0003555639;TESB;"Euronext Brussels";EUR;29.05;29.15;29;29;27/09/19;CET;9266;269122.9
TETRYS;BE0003886067;TET;"Euronext Expert Market";EUR;3;3;3;3;02/10/13;CET;435;1305
TEXAF;BE0974263924;TEXF;"Euronext Brussels";EUR;35.2;35.4;35;35;27/09/19;CET;1036;36400.2
TINC;BE0974282148;TINC;"Euronext Brussels";EUR;13.8;13.8;13.7;13.75;27/09/19;CET;15032;206903.35
TISCALI;IT0004513666;TISN;"Traded not listed Brussels";EUR;0.0178;0.0178;0.0095;0.0095;23/09/19;CET;62014;768.58
"TISSAGES BRUGGEMAN";BE0036061746;-;"Euronext Expert Market";EUR;39.07;39.07;39.07;39.07;29/09/15;CET;33;1289.31
"TITAN CEMENT";BE0974338700;TITC;"Euronext Brussels, Paris";EUR;18.96;19.02;18.96;19.02;27/09/19;CET;5614;106632.86
